#Feature,SGDClassifier,GaussianNB,RandomForestClassifier,SVC,SGDClassifier_preproccessed,GaussianNB_preproccessed,RandomForestClassifier_preproccessed,SVC_preproccessed
BRK.B_prpr,0.4944591374099046,0.48069489653568931,0.55441903045803298,0.50667722622645894,0.50610904440827709,0.48069489653568931,0.56852258195768424,0.53792722622645894
BRK.B_nrpr,0.55817833062078592,0.51641769355963729,0.44705301092769123,0.54534410602185535,0.55041269472215748,0.51641769355963729,0.42915237735410372,0.46743199255986989
BRK.B_sdpr,0.54902130318530573,0.54106675773076041,0.38596184026970476,0.48393324226923973,0.53428199837247159,0.54106675773076041,0.40864043245756798,0.52603318995582427
AMZN_pol,0.48298070216228783,0.4682631946059056,0.59385607998139966,0.52536910020925365,0.49224453615438274,0.4682631946059056,0.57466359567542435,0.52269239711694948
AMZN_subj,0.56130551034643106,0.53868141129969782,0.5035478667751685,0.47963337014647756,0.55448732852824922,0.53868141129969782,0.515130928853755,0.47164612880725415
AMZN_prpr,0.43468888049290866,0.46247456986747271,0.35568908393396881,0.47951566496163683,0.48644355963729363,0.46247456986747271,0.35185058707277383,0.52230295280167405
AMZN_nrpr,0.56244187398279466,0.54677691234596604,0.54185000581260168,0.50251685654498957,0.44634677981864684,0.54677691234596604,0.52548099279237392,0.5690943966519415
AMZN_sdpr,0.48045149383864211,0.52929478609625669,0.49568995582422681,0.45944620437107647,0.55808460241804236,0.52929478609625669,0.52064563473610792,0.4499825621948384
WFC_pol,0.49712566844919792,0.44376743780516159,0.52036154382701694,0.49736107881887931,0.47667112299465242,0.44376743780516159,0.50614827946989061,0.53083076610090685
WFC_subj,0.50239188560799808,0.52151825156940235,0.48611587421529878,0.48250552197163454,0.44443734015345271,0.52151825156940235,0.481074168797954,0.44057486631016041
WFC_prpr,0.44859117065798648,0.57958105673099281,0.60784119972099515,0.53064185654498952,0.47302298883980465,0.57958105673099281,0.61084994768658452,0.44915935247616828
WFC_nrpr,0.53150793420134845,0.51539540223203906,0.51861122413392235,0.51155908509648929,0.48491702511043949,0.51539540223203906,0.49118155661474078,0.52231167170425485
WFC_sdpr,0.530603348058591,0.53414176935596369,0.51714426877470365,0.49205126714717506,0.44024064171122995,0.53414176935596369,0.51218684608230647,0.4859974424552429
JPM_pol,0.53250188909555918,0.512730324343176,0.42239522785398742,0.46957902232039067,0.53016522320390602,0.512730324343176,0.40197265170890495,0.46670323761915833
